Title,Description,Director,Year,Runtime (Minutes),Votes,Metascore,Rating
Sleeping with Other People,"A good-natured womanizer and a serial cheater form a platonic relationship that helps reform them in ways, while a mutual attraction sets in.",Leslye Headland,2015,101,27730,64,6.5
Snakes on a Plane,"An FBI agent takes on a plane full of deadly and venomous snakes, deliberately released to kill a witness being flown from Honolulu to Los Angeles to testify against a mob boss.",David R. Ellis,2006,105,118905,58,5.6
What If,"Wallace, who is burned out from a string of failed relationships, forms an instant bond with Chantry, who lives with her longtime boyfriend. Together, they puzzle out what it means if your best friend is also the love of your life.",Michael Dowse,2013,98,55243,59,6.8
How to Train Your Dragon 2,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",Dean DeBlois,2014,102,237565,76,7.9
RoboCop,"In 2028 Detroit, when Alex Murphy - a loving husband, father and good cop - is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.",José Padilha,2014,117,190833,52,6.2
In Dubious Battle,An activist gets caught up in the labor movement for farm workers in California during the 1930s.,James Franco,2016,110,1455,43,6.2
"Hello, My Name Is Doris",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,Michael Showalter,2015,95,12361,63,6.7
Ocean's Thirteen,"Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.",Steven Soderbergh,2007,122,269581,62,6.9
Slither,"A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.",James Gunn,2006,95,64351,69,6.5
Contagion,"Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.",Steven Soderbergh,2011,106,187004,70,6.6
Il racconto dei racconti - Tale of Tales,"From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile.",Matteo Garrone,2015,133,17565,72,6.4
I Am the Pretty Thing That Lives in the House,A young nurse takes care of elderly author who lives in a haunted house.,Oz Perkins,2016,87,4204,68,4.7
Bridge to Terabithia,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,Gabor Csupo,2007,96,117297,74,7.2
Coherence,Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.,James Ward Byrkit,2013,89,66265,65,7.2
Notorious,"The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm.",George Tillman Jr.,2009,122,33007,60,6.7
Goksung,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,Hong-jin Na,2016,156,17962,81,7.5
The Expendables 2,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",Simon West,2012,103,257395,51,6.6
The Girl Next Door,"Based on the Jack Ketchum novel of the same name, The Girl Next Door follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt...and the boys who witness and fail to report the crime.",Gregory Wilson,2007,91,19351,29,6.7
Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",Tom Tykwer,2006,147,199387,56,7.5
The Golden Compass,"In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization.",Chris Weitz,2007,113,155078,51,6.1
Centurion,A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.,Neil Marshall,2010,97,67801,62,6.4
Scouts Guide to the Zombie Apocalypse,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak.",Christopher Landon,2015,93,31651,32,6.3
17 Again,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,Burr Steers,2009,102,152808,48,6.4
No Escape,"In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed.",John Erick Dowdle,2015,103,57921,38,6.8
Superman Returns,"Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination.",Bryan Singer,2006,154,246797,72,6.1
The Twilight Saga: Breaking Dawn - Part 1,"The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.",Bill Condon,2011,117,190244,45,4.9
Precious,"In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction.",Lee Daniels,2009,110,91623,79,7.3
The Sea of Trees,A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.,Gus Van Sant,2015,110,7475,23,5.9
Good Kids,Four high school students look to redefine themselves after graduation.,Chris McCoy,2016,86,3843,86,6.1
The Master,A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.,Paul Thomas Anderson,2012,144,112902,,7.1
Footloose,"City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.",Craig Brewer,2011,113,39380,58,5.9
If I Stay,"Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on.",R.J. Cutler,2014,107,92170,46,6.8
The Ticket,A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.,Ido Fluk,2016,97,924,52,5.4
Detour,"A young law student blindly enters into a pact with a man who offers to kill his stepfather, whom he feels is responsible for the accident that sent his mother into a coma.",Christopher Smith,2016,97,2205,46,6.3
The Love Witch,A modern-day witch uses spells and magic to get men to fall in love with her.,Anna Biller,2016,120,4669,82,6.2
Talladega Nights: The Ballad of Ricky Bobby,"#1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test.",Adam McKay,2006,108,137502,66,6.6
The Human Centipede (First Sequence),"A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums.",Tom Six,2009,92,60655,33,4.4
Super,"After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills.",James Gunn,2010,96,64535,50,6.8
The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,Richie Smyth,2016,108,14689,83,7.3
Up in the Air,"Ryan Bingham enjoys living out of a suitcase for his job traveling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest and a new hire.",Jason Reitman,2009,109,279694,,7.4
The Midnight Meat Train,"A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways imaginable.",Ryûhei Kitamura,2008,98,50255,58,6.1
The Twilight Saga: Eclipse,"As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob.",David Slade,2010,124,192740,58,4.9
Transpecos,"For three Border Patrol agents working a remote desert checkpoint, the contents of one car will reveal an insidious plot within their own ranks. The next 24 hours will take them on a treacherous journey that could cost them their lives.",Greg Kwedar,2016,86,1292,73,5.8
What's Your Number?,A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.,Mark Mylod,2011,106,62095,35,6.1
